,instance_name,bag_name,bag_cnn_probability,cnn_prediction
0,ID_ed600c22e.dcm,ID_00047d6503,0.049846,0.016014837
1,ID_087208a31.dcm,ID_00047d6503,0.049846,0.06983767
2,ID_506d20418.dcm,ID_00047d6503,0.049846,0.047787923
3,ID_3e299291c.dcm,ID_00047d6503,0.049846,0.03280752
4,ID_39ba043b0.dcm,ID_00047d6503,0.049846,0.011249377
5,ID_eec846575.dcm,ID_00047d6503,0.049846,0.009713689
6,ID_b96cf3771.dcm,ID_00047d6503,0.049846,0.0059402366
7,ID_471f7f5a3.dcm,ID_00047d6503,0.049846,0.011091375
8,ID_44d1c0115.dcm,ID_00047d6503,0.049846,0.012221798
9,ID_11294c843.dcm,ID_00047d6503,0.049846,0.011840273
10,ID_1c9881488.dcm,ID_00047d6503,0.049846,0.01454145
11,ID_9c6e0a69a.dcm,ID_00047d6503,0.049846,0.014423248
12,ID_b2270386d.dcm,ID_00047d6503,0.049846,0.013347958
13,ID_10f7993b3.dcm,ID_00047d6503,0.049846,0.016731894
14,ID_4df45b6fd.dcm,ID_00047d6503,0.049846,0.018992048
15,ID_7301bba76.dcm,ID_00047d6503,0.049846,0.020799482
16,ID_812815f4c.dcm,ID_00047d6503,0.049846,0.025595928
17,ID_76c10dac6.dcm,ID_00047d6503,0.049846,0.016882244
18,ID_88fabe287.dcm,ID_00047d6503,0.049846,0.027503762
19,ID_bd4a60207.dcm,ID_00047d6503,0.049846,0.019720765
20,ID_1833bcbfd.dcm,ID_00047d6503,0.049846,0.029994292
21,ID_ecb61e3fd.dcm,ID_00047d6503,0.049846,0.021122795
22,ID_811023473.dcm,ID_00047d6503,0.049846,0.030546589
23,ID_8d58e2e28.dcm,ID_00047d6503,0.049846,0.024224801
24,ID_63b709fd7.dcm,ID_00047d6503,0.049846,0.02252492
25,ID_703f207c2.dcm,ID_00047d6503,0.049846,0.019769564
26,ID_8deee6232.dcm,ID_00047d6503,0.049846,0.02404592
27,ID_10ff196ec.dcm,ID_00047d6503,0.049846,0.023627538
28,ID_89e23df18.dcm,ID_00047d6503,0.049846,0.02599789
29,ID_fe9d952e7.dcm,ID_00047d6503,0.049846,0.018416231
30,ID_68c969643.dcm,ID_00047d6503,0.049846,0.027576463
31,ID_bab601d10.dcm,ID_00047d6503,0.049846,0.01650206
32,ID_3eb3c1d4c.dcm,ID_00047d6503,0.049846,0.015882812
33,ID_db2ddbce8.dcm,ID_00047d6503,0.049846,0.01645077
34,ID_dd3282c31.dcm,ID_00047d6503,0.049846,0.01371082
35,ID_3131664ab.dcm,ID_00047d6503,0.049846,0.014093731
36,ID_af42e31f3.dcm,ID_00047d6503,0.049846,0.010912284
